iter	RMSE
0	5119.73556
1	5039.792089
2	4957.262051
3	4871.476627
4	4818.971658
5	4756.651363
6	4706.884681
7	4649.255118
8	4597.875401
9	4555.186219
10	4511.16356
11	4467.872751
12	4426.648851
13	4393.493963
14	4356.799189
15	4316.575878
16	4293.704556
17	4265.913565
18	4243.104378
19	4212.851045
20	4191.334107
21	4165.513368
22	4140.67591
23	4119.561795
24	4098.742467
25	4080.044639
26	4062.133688
27	4045.660425
28	4023.159726
29	4000.931755
30	3985.799221
31	3971.827634
32	3959.540624
33	3947.764794
34	3933.24976
35	3920.555329
36	3901.455935
37	3891.755114
38	3884.822031
39	3869.728042
40	3857.158821
41	3844.784585
42	3830.110132
43	3817.81638
44	3810.012908
45	3799.28261
46	3784.048166
47	3774.797276
48	3764.902274
49	3755.396625
50	3746.454628
51	3737.42417
52	3726.579967
53	3712.490039
54	3700.566128
55	3692.150328
56	3683.153119
57	3678.089301
58	3667.633854
59	3658.079194
60	3652.020354
61	3646.194373
62	3639.810983
63	3628.278695
64	3620.181535
65	3610.08501
66	3606.383052
67	3600.896138
68	3595.075857
69	3589.545683
70	3585.201778
71	3579.845776
72	3570.40663
73	3566.372885
74	3558.940793
75	3553.091564
76	3544.026759
77	3540.047044
78	3534.212092
79	3524.017245
80	3518.797974
81	3515.448404
82	3509.979642
83	3505.949768
84	3501.259187
85	3496.053224
86	3493.354526
87	3489.932674
88	3486.922828
89	3481.442203
90	3474.435134
91	3469.331146
92	3463.811405
93	3460.384895
94	3456.435464
95	3452.016436
96	3446.889926
97	3441.936237
98	3436.948822
99	3427.203409
100	3424.130484
101	3421.6224
102	3418.059064
103	3412.100543
104	3409.568155
105	3402.139347
106	3398.989465
107	3395.621255
108	3393.120513
109	3390.09029
110	3386.682849
111	3379.781721
112	3376.615124
113	3372.390225
114	3365.730516
115	3360.583346
116	3356.582139
117	3350.817994
118	3348.564397
119	3344.45295
120	3342.665837
121	3337.192486
122	3328.848975
123	3324.407096
124	3321.114244
125	3318.802835
126	3314.69155
127	3310.74749
128	3305.256454
129	3302.650186
130	3299.36537
131	3292.330062
132	3287.116156
133	3284.638883
134	3282.243594
135	3278.633269
136	3274.485736
137	3270.747485
138	3267.895961
139	3265.970543
140	3259.868703
141	3255.177368
142	3253.426957
143	3249.013162
144	3245.156776
145	3242.111411
146	3240.343803
147	3236.618879
148	3233.595636
149	3229.872541
150	3225.497533
151	3221.314163
152	3217.311205
153	3214.66136
154	3209.74765
155	3207.690542
156	3204.494032
157	3196.813988
158	3194.335093
159	3191.785273
160	3190.035644
161	3188.326196
162	3185.851666
163	3184.120752
164	3180.877369
165	3178.09111
166	3173.934748
167	3171.118528
168	3168.579403
169	3166.476881
170	3164.634441
171	3161.985314
172	3158.541629
173	3154.63916
174	3150.907236
175	3146.843558
176	3142.494974
177	3140.083655
178	3137.910716
179	3134.453308
180	3131.529998
181	3126.148244
182	3120.774612
183	3118.761863
184	3114.33555
185	3112.512783
186	3109.90549
187	3107.391592
188	3104.241546
189	3101.466383
190	3097.548128
191	3092.744458
192	3091.488758
193	3088.678936
194	3086.440821
195	3083.238041
196	3080.618897
197	3077.941493
198	3073.507323
199	3069.231746
200	3065.553082
201	3063.400429
202	3059.449676
203	3057.220163
204	3053.417871
205	3050.30926
206	3046.917429
207	3044.119986
208	3041.145521
209	3039.502262
210	3037.10413
211	3034.049823
212	3030.754542
213	3028.218006
214	3025.15598
215	3019.963325
216	3017.995377
217	3015.728462
218	3013.50039
219	3011.150856
220	3008.34039
221	3005.445512
222	3002.849108
223	3000.932995
224	2997.787077
225	2994.967696
226	2992.338878
227	2990.64292
228	2988.121915
229	2985.99265
230	2982.753659
231	2980.24323
232	2976.398438
233	2973.810294
234	2971.383532
235	2970.63744
236	2968.463597
237	2966.750965
238	2964.016361
239	2962.049323
240	2959.795128
241	2956.972837
242	2953.186085
243	2950.616663
244	2947.041874
245	2945.046742
246	2942.487198
247	2941.234604
248	2938.632751
249	2935.324811
250	2932.534677
251	2929.952964
252	2928.351891
253	2925.993814
254	2923.725896
255	2921.553064
256	2917.28406
257	2915.828138
258	2913.582877
259	2911.738956
260	2908.599719
261	2906.323551
262	2904.334161
263	2902.56811
264	2900.502545
265	2898.278957
266	2896.79019
267	2894.121228
268	2890.958749
269	2888.994514
270	2885.831277
271	2882.247657
272	2882.184583
273	2877.557702
274	2876.249898
275	2875.173818
276	2873.61982
277	2871.546583
278	2868.857533
279	2866.449205
280	2864.591685
281	2862.468379
282	2860.456623
283	2859.190102
284	2859.133075
285	2857.3319
286	2854.934182
287	2854.555897
288	2851.224137
289	2849.654086
290	2846.303065
291	2845.116065
292	2842.997073
293	2840.304621
294	2838.355974
295	2836.08919
296	2832.224574
297	2831.952622
298	2830.767031
299	2828.689572
300	2826.185741
301	2824.619389
302	2824.147554
303	2821.606713
304	2820.34555
305	2818.440842
306	2816.748322
307	2814.99645
308	2812.393928
309	2810.017541
310	2807.42776
311	2805.317947
312	2802.409229
313	2800.039667
314	2797.898223
315	2796.38462
316	2795.27844
317	2792.565277
318	2791.065224
319	2790.145875
320	2788.457007
321	2786.779478
322	2783.998193
323	2782.201363
324	2781.368879
325	2779.209086
326	2775.892379
327	2774.499613
328	2772.124394
329	2770.679102
330	2769.734929
331	2768.427718
332	2766.834097
333	2766.141487
334	2764.48526
335	2762.269222
336	2761.465505
337	2760.594196
338	2758.932288
339	2757.102867
340	2755.236573
341	2753.113457
342	2750.347094
343	2748.947442
344	2746.835613
345	2745.569737
346	2742.015354
347	2740.038437
348	2739.078462
349	2736.21893
350	2734.703058
351	2733.490001
352	2731.866201
353	2731.348035
354	2729.144974
355	2727.571303
356	2725.60263
357	2723.772669
358	2722.764238
359	2721.030023
360	2719.060215
361	2716.873064
362	2715.070135
363	2714.232449
364	2712.77197
365	2710.838976
366	2710.211117
367	2709.194962
368	2708.159978
369	2706.589394
370	2705.609679
371	2704.127375
372	2703.074046
373	2700.806192
374	2699.167718
375	2698.163383
376	2697.384831
377	2695.99982
378	2694.759019
379	2693.061691
380	2690.664089
381	2689.875121
382	2688.711878
383	2687.334592
384	2683.670654
385	2682.756352
386	2682.058113
387	2680.332447
388	2679.183681
389	2677.860352
390	2675.544496
391	2675.159029
392	2674.23235
393	2673.217761
394	2670.432639
395	2668.706424
396	2667.074635
397	2665.55235
398	2664.522905
399	2662.881621
400	2660.768873
401	2659.194324
402	2658.121912
403	2656.594121
404	2654.837954
405	2654.390702
406	2653.211514
407	2651.036199
408	2647.574528
409	2646.161775
410	2645.150818
411	2643.153441
412	2642.718828
413	2641.55789
414	2640.177604
415	2637.909021
416	2636.515237
417	2635.235265
418	2634.677767
419	2632.408333
420	2630.006263
421	2629.408472
422	2628.259049
423	2626.635298
424	2625.598686
425	2624.100506
426	2622.19106
427	2620.29641
428	2617.969439
429	2617.416046
430	2616.494637
431	2614.003559
432	2612.580703
433	2611.386053
434	2611.098584
435	2609.037276
436	2607.266373
437	2605.593284
438	2604.151048
439	2602.105921
440	2600.648613
441	2599.339925
442	2598.968548
443	2598.246534
444	2597.285418
445	2595.010322
446	2593.380606
447	2591.950113
448	2588.873505
449	2586.429848
450	2584.40124
451	2581.879241
452	2579.981399
453	2578.194726
454	2577.378448
455	2575.882074
456	2574.389817
457	2572.571987
458	2571.95618
459	2569.784956
460	2568.152612
461	2566.487371
462	2564.828768
463	2564.252725
464	2562.649702
465	2560.93626
466	2559.529867
467	2558.204293
468	2557.217547
469	2555.834593
470	2554.297146
471	2552.337166
472	2550.536458
473	2548.610255
474	2547.291128
475	2545.664531
476	2544.549949
477	2542.677875
478	2541.722959
479	2540.210556
480	2537.117646
481	2535.319983
482	2534.243597
483	2533.812655
484	2532.377559
485	2531.440871
486	2530.181074
487	2528.553285
488	2527.200725
489	2525.667784
490	2524.205396
491	2523.287892
492	2522.387401
493	2520.898815
494	2520.155171
495	2518.473135
496	2517.826161
497	2517.076568
498	2515.969221
499	2515.599603
500	2514.908057
501	2513.891568
502	2513.051604
503	2511.982866
504	2510.836631
505	2508.743175
506	2507.433624
507	2505.474844
508	2501.719196
509	2500.377929
510	2500.029926
511	2499.709018
512	2497.764798
513	2496.373898
514	2494.8621
515	2493.433018
516	2490.441886
517	2489.270088
518	2488.201408
519	2486.653501
520	2485.16871
521	2484.120426
522	2481.267909
523	2480.184324
524	2479.016654
525	2476.381061
526	2475.299869
527	2474.498933
528	2473.370043
529	2472.205901
530	2469.591868
531	2468.268578
532	2466.60439
533	2465.296444
534	2463.775899
535	2462.014221
536	2460.990367
537	2459.114577
538	2457.547367
539	2454.288325
540	2452.992866
541	2451.173286
542	2450.599464
543	2450.290757
544	2449.18077
545	2447.430859
546	2446.618711
547	2445.291651
548	2444.890619
549	2442.093918
550	2440.122948
551	2438.493746
552	2437.421337
553	2436.684823
554	2435.83163
555	2434.856704
556	2433.710166
557	2431.55217
558	2431.032927
559	2428.676704
560	2428.630166
561	2427.111152
562	2426.001222
563	2424.287716
564	2422.972404
565	2422.316401
566	2420.964305
567	2419.418502
568	2418.096238
569	2417.153839
570	2415.82759
571	2414.151387
572	2411.810551
573	2410.608231
574	2409.43378
575	2407.942381
576	2406.944388
577	2405.353675
578	2404.245977
579	2403.183269
580	2401.750158
581	2400.705058
582	2399.304976
583	2396.702647
584	2396.296807
585	2395.419749
586	2393.364053
587	2392.77124
588	2391.550474
589	2390.422953
590	2388.410379
591	2387.589434
592	2386.878484
593	2386.552266
594	2384.324383
595	2383.154898
596	2382.49469
597	2381.228791
598	2380.009096
599	2379.980446
600	2378.784796
601	2377.429776
602	2376.02006
603	2374.94729
604	2373.684089
605	2371.380653
606	2370.402397
607	2368.804267
608	2368.625042
609	2368.585225
610	2367.053061
611	2366.144117
612	2364.553147
613	2362.611054
614	2360.220884
615	2358.892713
616	2357.663314
617	2356.303478
618	2354.387276
619	2352.964316
620	2351.536652
621	2350.138846
622	2348.819515
623	2347.556616
624	2346.685934
625	2345.266633
626	2344.281444
627	2342.612592
628	2342.025376
629	2341.215448
630	2339.295288
631	2338.324659
632	2337.216283
633	2335.530207
634	2335.120456
635	2333.847595
636	2332.837813
637	2331.412523
638	2330.973457
639	2329.172383
640	2327.855701
641	2327.126061
642	2325.518378
643	2324.080063
644	2322.643222
645	2321.29907
646	2320.348647
647	2319.088556
648	2317.938681
649	2317.372332
650	2316.425038
651	2314.995483
652	2313.299127
653	2313.247292
654	2312.119493
655	2311.09551
656	2309.720694
657	2309.111123
658	2306.889941
659	2305.377102
660	2304.499755
661	2303.37238
662	2302.480618
663	2302.027387
664	2300.858845
665	2299.651225
666	2298.77823
667	2297.365958
668	2296.660421
669	2294.735914
670	2294.050408
671	2292.940597
672	2291.77535
673	2291.143367
674	2290.214348
675	2289.215969
676	2288.700226
677	2287.292964
678	2286.044747
679	2285.201918
680	2283.766978
681	2283.14448
682	2282.507204
683	2281.176101
684	2280.145969
685	2279.355176
686	2278.680927
687	2278.159894
688	2277.294547
689	2276.160935
690	2274.774123
691	2273.48798
692	2273.064725
693	2272.428336
694	2271.265477
695	2269.388045
696	2268.462077
697	2267.030374
698	2266.041031
699	2264.963636
700	2263.66682
701	2261.973362
702	2260.81822
703	2259.994058
704	2258.687106
705	2257.460226
706	2256.079559
707	2254.811319
708	2254.180968
709	2253.022425
710	2252.119705
711	2252.105435
712	2251.050948
713	2250.043107
714	2249.254656
715	2248.220668
716	2247.315533
717	2246.150648
718	2245.328434
719	2243.887799
720	2242.932435
721	2242.233864
722	2240.556583
723	2239.624021
724	2239.60741
725	2238.384424
726	2237.189947
727	2235.91943
728	2235.83458
729	2234.792727
730	2234.778413
731	2233.72406
732	2232.345442
733	2231.769094
734	2230.769985
735	2229.438407
736	2228.192477
737	2226.888464
738	2226.61385
739	2225.732429
740	2224.627874
741	2223.531924
742	2222.853439
743	2221.880201
744	2220.837224
745	2220.539337
