time,load_shortfall_3h
2018-01-01 00:00:00,8766.274655998115
2018-01-01 03:00:00,8069.550218430872
2018-01-01 06:00:00,9005.938670605947
2018-01-01 09:00:00,8869.21937559861
2018-01-01 12:00:00,8676.24659174006
2018-01-01 15:00:00,9268.192665225564
2018-01-01 18:00:00,8672.352427671307
2018-01-01 21:00:00,8267.987657468815
2018-01-02 00:00:00,8260.64401778667
2018-01-02 03:00:00,8703.355970988596
2018-01-02 06:00:00,9287.023724066465
2018-01-02 09:00:00,9692.550059699419
2018-01-02 12:00:00,8317.38566929181
2018-01-02 15:00:00,9957.53202602246
2018-01-02 18:00:00,10247.561194760407
2018-01-02 21:00:00,9571.8357054708
2018-01-03 00:00:00,9501.865860260568
2018-01-03 03:00:00,9848.35460510007
2018-01-03 06:00:00,9608.473476435105
2018-01-03 09:00:00,10544.010985915847
2018-01-03 12:00:00,9983.301352193394
2018-01-03 15:00:00,9705.652080342477
2018-01-03 18:00:00,10703.843549839783
2018-01-03 21:00:00,10268.014989220492
2018-01-04 00:00:00,10193.652069303263
2018-01-04 03:00:00,11159.151152803783
2018-01-04 06:00:00,11320.286787466739
2018-01-04 09:00:00,10470.850038789893
2018-01-04 12:00:00,10844.853293658893
2018-01-04 15:00:00,11086.825597329236
2018-01-04 18:00:00,9906.376742898263
2018-01-04 21:00:00,9290.188174553121
2018-01-05 00:00:00,9659.312796687742
2018-01-05 03:00:00,9603.452193978352
2018-01-05 06:00:00,8755.871054994002
2018-01-05 09:00:00,8321.320010328913
2018-01-05 12:00:00,8869.66973834213
2018-01-05 15:00:00,9327.348680781552
2018-01-05 18:00:00,9217.304423519836
2018-01-05 21:00:00,9069.019509257503
2018-01-06 00:00:00,7862.104447588718
2018-01-06 03:00:00,8691.028246131007
2018-01-06 06:00:00,8844.189240389727
2018-01-06 09:00:00,8457.022769151428
2018-01-06 12:00:00,10534.910467387617
2018-01-06 15:00:00,11562.548215004334
2018-01-06 18:00:00,10904.105426646183
2018-01-06 21:00:00,10559.259842745972
2018-01-07 00:00:00,9131.48146421532
2018-01-07 03:00:00,9839.658960423558
2018-01-07 06:00:00,9634.96060972213
2018-01-07 09:00:00,10193.959626593407
2018-01-07 12:00:00,9232.588564446314
2018-01-07 15:00:00,9399.149881187272
2018-01-07 18:00:00,9664.009319240271
2018-01-07 21:00:00,9439.19601318047
2018-01-08 00:00:00,7556.350355483093
2018-01-08 03:00:00,7817.529848676305
2018-01-08 06:00:00,9470.714623513377
2018-01-08 09:00:00,8007.974013629398
2018-01-08 12:00:00,9397.839847014373
2018-01-08 15:00:00,11423.864680165992
2018-01-08 18:00:00,10216.295800059544
2018-01-08 21:00:00,10144.646157066429
2018-01-09 00:00:00,10524.640344354455
2018-01-09 03:00:00,8358.785765958353
2018-01-09 06:00:00,9530.176555101825
2018-01-09 09:00:00,9216.238550695725
2018-01-09 12:00:00,9815.678881115566
2018-01-09 15:00:00,10018.20752761716
2018-01-09 18:00:00,9924.035278404413
2018-01-09 21:00:00,9372.501820183988
2018-01-10 00:00:00,10086.681182692868
2018-01-10 03:00:00,9337.590302455224
2018-01-10 06:00:00,8874.94767029259
2018-01-10 09:00:00,9622.0676382337
2018-01-10 12:00:00,9568.66586454332
2018-01-10 15:00:00,8121.440406585065
2018-01-10 18:00:00,8482.915605295255
2018-01-10 21:00:00,8099.83247189055
2018-01-11 00:00:00,8232.419296106862
2018-01-11 03:00:00,8599.285078338598
2018-01-11 06:00:00,8134.909864763585
2018-01-11 09:00:00,8322.418108263888
2018-01-11 12:00:00,7116.467736188057
2018-01-11 15:00:00,7931.390966264845
2018-01-11 18:00:00,8860.794182954218
2018-01-11 21:00:00,8497.91895730787
2018-01-12 00:00:00,9386.126072995445
2018-01-12 03:00:00,8476.62082708863
2018-01-12 06:00:00,8570.004401754695
2018-01-12 09:00:00,8270.239336021317
2018-01-12 12:00:00,10001.692383526311
2018-01-12 15:00:00,10619.075340111382
2018-01-12 18:00:00,10689.752465144826
2018-01-12 21:00:00,9243.241712157645
2018-01-13 00:00:00,9471.595885070325
2018-01-13 03:00:00,10419.80065474395
2018-01-13 06:00:00,8843.527497890656
2018-01-13 09:00:00,8694.379663788317
2018-01-13 12:00:00,10578.268236375876
2018-01-13 15:00:00,11119.542034863523
2018-01-13 18:00:00,11511.246294912724
2018-01-13 21:00:00,8741.878892430654
2018-01-14 00:00:00,9265.971830661834
2018-01-14 03:00:00,10274.951778088502
2018-01-14 06:00:00,8801.647122801345
2018-01-14 09:00:00,9088.593762436487
2018-01-14 12:00:00,8551.021757781125
2018-01-14 15:00:00,9887.413945595032
2018-01-14 18:00:00,8868.982981820634
2018-01-14 21:00:00,8620.236835741278
2018-01-15 00:00:00,8509.047948292375
2018-01-15 03:00:00,8665.784984381015
2018-01-15 06:00:00,8971.188634475944
2018-01-15 09:00:00,8674.527529956093
2018-01-15 12:00:00,10175.466629244367
2018-01-15 15:00:00,10757.369195148975
2018-01-15 18:00:00,8991.3209370496
2018-01-15 21:00:00,8610.008183639537
2018-01-16 00:00:00,8801.569405895858
2018-01-16 03:00:00,9388.947824071183
2018-01-16 06:00:00,8914.920590813463
2018-01-16 09:00:00,8869.711220626095
2018-01-16 12:00:00,9822.405023084415
2018-01-16 15:00:00,10521.283273572291
2018-01-16 18:00:00,9963.268092450971
2018-01-16 21:00:00,8883.211307513016
2018-01-17 00:00:00,8426.361975807076
2018-01-17 03:00:00,8374.522425677242
2018-01-17 06:00:00,9231.218036289485
2018-01-17 09:00:00,9353.425036034707
2018-01-17 12:00:00,10154.497191541104
2018-01-17 15:00:00,10655.857496810942
2018-01-17 18:00:00,9740.651501432698
2018-01-17 21:00:00,9925.56586415542
2018-01-18 00:00:00,10383.703853797924
2018-01-18 03:00:00,11336.952600816392
2018-01-18 06:00:00,8220.830606985764
2018-01-18 09:00:00,9070.705581836835
2018-01-18 12:00:00,10469.363096902001
2018-01-18 15:00:00,11226.78880276616
2018-01-18 18:00:00,10111.841854956469
2018-01-18 21:00:00,9757.844838618501
2018-01-19 00:00:00,9455.438208870868
2018-01-19 03:00:00,9021.852036191889
2018-01-19 06:00:00,9051.66399164931
2018-01-19 09:00:00,8891.69852398639
2018-01-19 12:00:00,9432.676545639853
2018-01-19 15:00:00,10786.48073921345
2018-01-19 18:00:00,10150.01446081125
2018-01-19 21:00:00,8318.426678947311
2018-01-20 00:00:00,9125.7082207957
2018-01-20 03:00:00,8975.380633722885
2018-01-20 06:00:00,9082.530507005557
2018-01-20 09:00:00,8316.202931187723
2018-01-20 12:00:00,9195.309520335742
2018-01-20 15:00:00,9424.066908430681
2018-01-20 18:00:00,9374.844292682523
2018-01-20 21:00:00,9249.60751028698
2018-01-21 00:00:00,8744.033159475286
2018-01-21 03:00:00,8474.778469529905
2018-01-21 06:00:00,9224.994686946338
2018-01-21 09:00:00,9330.893388540648
2018-01-21 12:00:00,9610.54848166335
2018-01-21 15:00:00,10354.088583163353
2018-01-21 18:00:00,9696.011918721299
2018-01-21 21:00:00,10297.04715156151
2018-01-22 00:00:00,10236.77390054518
2018-01-22 03:00:00,9907.583780938447
2018-01-22 06:00:00,9360.912765296016
2018-01-22 09:00:00,9620.926640851481
2018-01-22 12:00:00,9283.204876649805
